Fertilizer,N,P,K
Ammonium Nitrate phosphate,23,23,0
Ammonium Phosphate,14,28,0
Ammonium Phosphate Sulphate 16-20,16,20,0
Ammonium Phosphate Sulphate 20-20,20,20,0
Ammonium Phosphate Sulphate 18-9,18,9,0
Ammonium Phosphate Sulphate Nitrate,20,20,0
Ammonium Poly Phosphate,10,34,0
Boronated DAP (18:46:0:0.3),18,46,0
Boronated NPK (10:26:26:0.3),10,26,26
Boronated NPK (12:32:16:0.3),12,32,16
Diammonium Phosphate 18-46,18,46,0
Diammonium Phosphate 16 -44,16,44,0
Mono Ammonium Phosphate 11-52,11,52,0
Mono Ammonium Phosphate 12-61,12,61,0
Mono Potassium Phosphate,0,52,34
N.P.K (10-26-26),10,26,26
N.P.K 9:25:25,9,25,25
N.P.K. (12:11:18 with MgO),12,11,18
N.P.K. (14-28-14),14,28,14
N.P.K. (14-35-14),14,35,14
N.P.K. (15:15:15:9 S),15,15,15
N.P.K. (15-15-15),15,15,15
N.P.K. (16:16:16),16,16,16
N.P.K. (17-17-17),17,17,17
N.P.K. (19-19-19),19,19,19
N.P.K. (20-10-10),20,10,10
N.P.K. (22-22-11),22,22,11
N.P.K. 14:14:21,14,14,21
N.P.K. 15::9:20,15,9,20
N.P.K. 15:15:15,15,15,15
N.P.K. 21:6:13,21,6,13
N.P.K.(12-32-16),12,32,36
Nitro Phosphate,20,20,0
Nitrophosphate 23-23,23,23,0
Nitrophosphate 24-24,24,24,0
Nitrophosphate with Potash,15,15,15
NPK (13-40-13),13,40,13
NPK (13-5-26),13,5,26
NPK (18-18-18),18,18,18
NPK (19-19-19),19,19,19
NPK (20-20-20),20,20,20
NPK (6-12-36),6,12,36
Potassium Nitrate,13,0,45
Urea Ammonium phosphate 28-28,28,28,0
Urea Ammonium Phosphate 24-24,24,24,0
Urea Ammonium Phosphate 20-20,20,20,0
Urea Phosphate,17,44,0
Zincated NPK (10:26:26:0.5),10,26,26
Zincated NPK (12:32:16:0.5),12,32,16
